epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.2563,1.87841,2.73804,1.3893,0.83265,0.63747,0.73167,0.33631,1.56465,1.65666,1.31154,0.000551551,0.000551551,0.000551551
2,115.875,1.70418,1.53744,1.28257,0.88168,0.74113,0.80434,0.3861,1.55965,1.20728,1.35386,0.00109808,0.00109808,0.00109808
3,254.56,1.68875,1.19496,1.30655,0.93727,0.73375,0.812,0.39795,1.55099,0.8539,1.33763,0.00163545,0.00163545,0.00163545
4,323.711,1.69108,1.05607,1.30501,0.87604,0.72679,0.80741,0.37058,1.55375,0.86334,1.3223,0.00162574,0.00162574,0.00162574
5,379.879,1.65361,0.95821,1.27623,0.94299,0.73368,0.83525,0.39069,1.60453,0.83308,1.36701,0.00161199,0.00161199,0.00161199
6,437.1,1.65395,0.91272,1.28943,0.94972,0.7568,0.84179,0.39653,1.5358,0.80233,1.32515,0.00159824,0.00159824,0.00159824
7,491.75,1.61865,0.86649,1.26865,0.88271,0.82304,0.88007,0.43955,1.53004,0.756,1.32268,0.00158448,0.00158448,0.00158448
8,547.48,1.61695,0.8652,1.27452,0.94497,0.79291,0.88707,0.44686,1.45078,0.72859,1.26359,0.00157073,0.00157073,0.00157073
9,602.332,1.62397,0.86671,1.26461,0.92407,0.81174,0.86395,0.41264,1.69924,0.76257,1.40852,0.00155698,0.00155698,0.00155698
10,658.121,1.60731,0.83552,1.2686,0.93909,0.7818,0.85741,0.44477,1.51082,0.7482,1.30011,0.00154323,0.00154323,0.00154323
11,712.962,1.61194,0.8247,1.28163,0.90919,0.80011,0.85784,0.42201,1.48786,0.70007,1.29618,0.00152947,0.00152947,0.00152947
12,779.416,1.56815,0.78514,1.24072,0.9095,0.86189,0.9066,0.43424,1.4803,0.67416,1.28212,0.00151572,0.00151572,0.00151572
13,833.873,1.5641,0.77315,1.23593,0.94938,0.82146,0.90298,0.4646,1.44244,0.69087,1.26588,0.00150197,0.00150197,0.00150197
